Tweet,Label
美国的总统是不会坐这种车出门的，很多人说奥巴马，那我要告诉你，黑人能当总统那么他必须比白人更能代表资本家的立场，不然他就当不了这个总统。,Neither
RT :  都是那些搬起石头砸自己脚的人问题！,Neither
這就是不公平的地方。一邊超高標，另一邊超低標。後者因為賴著不走，影響更為巨大。,Neither
主要是華人生育率下降的速度快於穆斯林，日本台灣大學招留學生也是同一個原因。,Neither
"放着他去美国，我怀疑他能不能活过一年就看他敢不敢对着黑人喊尼哥了我相信到时候的自由亚洲的新闻标题会是""""反华义士王XX客死美国街头，疑因批评中共政府被中共暗杀""""",Neither
又是遙遙領先之言 ,Neither
白人行为真是早熟,Neither
RT : 给时间时间 让过去过去,Neither
那是你美爹，有什么问题？我可没说美国白人正统，我只是说别人为这个国家比你们这些新移民贡献多，有问题？,Neither
本来以为是个疆独，没想到是个印度人。经济形势这么差，收钱发发帖子也可以理解。🤝🤝🤝 ,Neither
黑穆畜的下一个袭击目标，极可能是纽约大教堂，一群黑穆畜先头部队开始试探纽约大教堂的保安。黑命贵、黑穆畜将来的下场不是被歧视，而是被鄙视。一切都是他们自作自受的结果。,Hate-speech
不会太热吗？,Neither
刚才吓了一跳，以为是一个轮子或台蛙出来挑衅。险些闹出误会。,Abusive-only
中国人民大学的教授说的话就是真理吗？有点盲目崇拜强权和学术。我倒认为是体制造成民风的恶，为什么同样黄皮肤的日本人韩国人台湾人不这样，甚至移民到美国欧洲的中共人不这样？,Neither
一個由日本民族派和中國國粹主義者組成的東亞交流小組。現有日本人四名，中國大陸人四名，中國台灣人一名。討論組的意識形態傾向民族主義，希望諸位能和諧交流。有意者私信 ,Neither
台蛙高兴得太早了，棒棒糖还是很精明的。,Abusive-only
最小的00后  真的 印度阿三必亡,Hate-speech
张工被拒签是怎么回事？3 还没有发生纵火案，陈政高和李东齐是不可能放张工出国的，为了控制张工，他们诬陷张工是法轮功修炼者，并且要出逃，当时皇朝万鑫有人告诉张工说“已经把你给报上去了”，后来张工才明白这句话的真正含义，为了限制张工人… ,Neither
请你骂我,Neither
如今的道士和尚都是富甲一方的江湖大哥,Neither
在纽约街头大喊黑人是垃圾，必须被白人奴役，这是历史也是必然，算不算言论自由？,Neither
高层次的男人或者女人就不需要爱了？难道是要做和尚尼姑？难道是全能全知的上帝？无欲无求的佛祖？题主说的是一个与高层次的男的在一起时这个女人应该更注重和具有哪些品格，有说这个男… ,Neither
RT : 北京，烟花彩排 ,Neither
没有任何资格撒盐。我是香港人，我们现在也在面临同样的情况。可是，哪怕暂时无能为力，谁是中华文明的敌人，起码我们得知道、认得、记住。 ,Neither
你见过爱国反对者喊自己国家人为支那的么？见过爱国反对者举着殖民属地旗帜游行的？见过坚决不认同自己是中国人的爱国反对者？不，他们不是，他们是… ,Neither
"我好奇怎樣才能""""像白人一樣說英文""""笑死 ",Neither
傻吊，祝你出门就被尼哥爆头,Abusive-only
这个世界需要的是多样性，欧美的民主，中国的专制，缺哪一个，世界都会大乱。没有中国的专制，就看不到抗疫的大神操作。没有欧美民主，中国的高压政权也会走向灭亡。,Neither
台蛙小编你购买了多？既然那么好卖，台湾农委会还要提供补贴 ,Abusive-only
